"ESP_COD_FAO"	"ESP_LIB_FAO_FRANCAIS"
"ENK"	"Enneacampus kaupi"
"FXE"	"Festucalex erythraeus"
"FXW"	"Festucalex wassi"
"FLG"	"Filicampus tigris"
"HBK"	"Halicampus brocki"
"RWA"	"Sardines arc-en-ciel nca"
"SAS"	"Harengules"
"THX"	"Chardins nca"
"CWA"	"Clupeonelle nca"
"ENR"	"Anchois nca"
"STO"	"Anchois Stolephorus nca"
"DOS"	"Chirocentres nca"
"TRO"	"Truites nca"
"ORC"	"Saumons du pacifique nca"
"CHR"	"Ombles nca"
"ARG"	"Argentines"
"BTY"	"Bathylagus spp"
"NAN"	"Nansenia spp"
"WHF"	"Corégones nca"
"ALH"	"Alepocephalus spp"
"GSX"	"Gonostoma spp"
"YTX"	"Cyclothone spp"
"SWK"	"Stomias spp"
"ZZ9"	"Espèce hors domaine"
"FKN"	"Notopterus spp"
"MZU"	"Mormyrus spp"
"BNT"	"Benthalbella spp"
"ALI"	"Alepisaurus spp"
"NOE"	"Barracudines nca"
"VSH"	"Scopelosaurus spp"
"SZX"	"Saurida spp"
"ELT"	"Electrona spp"
"LAX"	"Notoscopelus spp"
"GYY"	"Gymnoscopelus spp"
"PVP"	"Protomyctophum spp"
"CIV"	"Citharinus nep"
"DSE"	"Distichodus spp"
"PRL"	"Prochilodes nca"
"BUF"	"Poissons-taureaux nca"
"FBR"	"Brèmes d'eau douce nca"
"FRX"	"Gardons nca"
"LEW"	"Leuciscus spp"
"RHI"	"Labéos nca"
"HXP"	"Carpes nca"
"FAB"	"Barbeaux d'asie nca"
"YHX"	"Hypsibarbus spp"
"BWX"	"Botia spp"
"HQX"	"Homaloptera spp"
"AWX"	"Arius spp"
"CAE"	"Balibots"
"CAG"	"Kryptopterus spp"
"WAX"	"Wallago spp"
"BXM"	"Mystus spp"
"CST"	"Chrysichthys spp"
"CAN"	"Bagrus spp"
"CAF"	"Barbottes nca"
"CTO"	"Clarias spp"
"CGM"	"Poisson-chat, hybride"
"PGZ"	"Pangasius spp"
"CSY"	"Synodontis spp"
"ELX"	"Anguilles nca"
"PCX"	"Murénésoces nca"
"CGZ"	"Congres nca"
"AWK"	"Serrivomer spp"
"BES"	"Belone spp"
"NED"	"Aiguilles nca"
"HAX"	"Hemiramphus spp"
"YPX"	"Cypselurus spp"
"MRL"	"Gadomurènes nca"
"PQO"	"Physiculus spp"
"LEV"	"Lepidion spp"
"CDZ"	"Morues du nord nca"
"LNZ"	"Lingues nca"
"FOX"	"Phycis nca"
"ROL"	"Motelles nca"
"HKX"	"Merlus nca"
"HKC"	"Merlus du cap"
"GRV"	"Grenadiers nca"
"CVY"	"Coryphaenoides spp"
"CWX"	"Coelorinchus spp"
"SKB"	"Épinoches"
"FIT"	"Fistularia spp"
"SWY"	"Syngnathus spp"
"HIC"	"Hippocampus spp"
"LAP"	"Lampris spp"
"TRP"	"Trachipterus spp"
"CEX"	"Abadèches nca"
"ALF"	"Béryx nca"
"KRW"	"Chirostoma spp"
"MGS"	"Mulets"
"LZZ"	"Liza spp"
"VMX"	"Valamugil spp"
"TZX"	"Pterocaesio spp"
"FUS"	"Fusiliers caesio nca"
"ROB"	"Crossies nca"
"PEX"	"Perches d'eau douce nca"
"GPB"	"Badèches nca"
"GPX"	"Mérous nca"
"BAS"	"Serrans nca"
"XBX"	"Paralabrax spp"
"THO"	"Terapon spp"
"HAU"	"Polyprion spp"
"BSA"	"Morone spp"
"CYV"	"Hydrolagus novaezealandiae"
"CYJ"	"Hydrolagus ogilbyi"
"CYZ"	"Hydrolagus pallidus"
"CHV"	"Hydrolagus purpurescens"
"RCT"	"Chimère à nez mou"
"RCP"	"Rhinochimaera pacifica"
"HCH"	"Harriotta haeckeli"
"HCR"	"Chimère à nez rigide"
"CNN"	"Neoharriotta pinnata"
"CHB"	"Masca laboureur"
"CHJ"	"Masca"
"CHM"	"Masca du Cap"
"CNF"	"Neoceratodus forsteri"
"LLP"	"Lepidosiren paradoxa"
"CLC"	"Latimeria chalumnae"
"PPD"	"Polypterus endlicheri"
"PPV"	"Polypterus senegalus"
"PEC"	"Erpetoichthys calabaricus"
"PPB"	"Protopterus aethiopicus"
"PPG"	"Protopterus annectens"
"APU"	"Esturgeon commun"
"APG"	"Esturgeon du Danube"
"AAA"	"Esturgeon de l'Adriatique"
"APR"	"Sterlet"
"APE"	"Esturgeon étoilé"
"AAN"	"Esturgeon barbillons frangés"
"AAF"	"Acipenser fulvescens"
"AAO"	"Esturgeon noir"
"APN"	"Esturgeon blanc"
"AAY"	"Acipenser brevirostrum"
"APB"	"Esturgeon de Sibérie"
"AAH"	"Acipenser schrenckii"
"AAD"	"Acipenser dabryanus"
"AAM"	"Esturgeon vert"
"AAK"	"Acipenser mikadoi"
"AAP"	"Acipenser persicus"
"AAI"	"Acipenser sinensis"
"AAU"	"Acipenser multiscutatus"
"PHF"	"Scaphirhynchus platorynchus"
"PHS"	"Scaphirhynchus albus"
"HUH"	"Béluga"
"AHM"	"Huso dauricus"
"PSN"	"Pseudoscaphirhynchus hermanni"
"PSF"	"Pseudoscaphirhynchus kaufmanni"
"PAM"	"Spatule d'Amérique"
"AHG"	"Psephurus gladius"
"AAC"	"Amia calva"
"LLO"	"Lépisosté osseux"
"LFV"	"Lepisosteus platyrhincus"
"LVQ"	"Lepisosteus platostomus"
"LVT"	"Lépisosté tacheté"
"LET"	"Garpique cubain"
